Date,station,river_hight,rainfall
9/18/2023,Ellagawa,5.39,15.5
9/18/2023,Rathnapura,1.35,2.5
9/18/2023,Magura,1.62,4.8
9/18/2023,Kalawellawa,3.18,18.7
9/17/2023,Putupaula,0.73,0
9/17/2023,Ellagawa,5.47,0
9/17/2023,Rathnapura,1.52,0
9/17/2023,Magura,1.75,0
9/17/2023,Kalawellawa,3.2,0
9/16/2023,Putupaula,1.18,0.7
9/16/2023,Ellagawa,6.36,0
9/16/2023,Rathnapura,2.1,0
9/16/2023,Magura,2.1,1.2
9/16/2023,Kalawellawa,3.83,0
9/15/2023,Putupaula,1.43,40.3
9/15/2023,Ellagawa,7.52,27.5
9/15/2023,Rathnapura,3.9,31.5
9/15/2023,Magura,2.83,25.5
9/15/2023,Kalawellawa,4.32,21.1
9/14/2023,Putupaula,0.83,3
9/14/2023,Ellagawa,6.29,12.9
9/14/2023,Rathnapura,2.71,31.6
9/14/2023,Magura,2.03,16.7
9/14/2023,Kalawellawa,3.51,9.8
9/13/2023,Putupaula,0.96,4
9/13/2023,Ellagawa,5.95,2.3
9/13/2023,Rathnapura,1.63,0.7
9/13/2023,Magura,1.92,0
9/13/2023,Kalawellawa,3.62,3.9
9/12/2023,Putupaula,1.21,9.6
9/12/2023,Ellagawa,6.68,65
9/12/2023,Rathnapura,2.12,20.3
9/12/2023,Magura,2.15,22.4
9/12/2023,Kalawellawa,4.25,25.5
9/11/2023,Putupaula,1,5.5
9/11/2023,Ellagawa,6,5.7
9/11/2023,Rathnapura,2.32,14.3
9/11/2023,Magura,2.68,1.6
9/11/2023,Kalawellawa,4.18,5.2
9/10/2023,Putupaula,1.93,0
9/10/2023,Ellagawa,6.29,8
